"","Transect","Family_grouped","Percentage"
"1",1,"A4b",8.11959106204869
"2",1,"Cryomorphaceae",1.61565483498117
"3",1,"Cyclobacteriaceae",5.00465617100517
"4",1,"Flavobacteriaceae",8.62078862146316
"5",1,"Halieaceae",1.64737794058113
"6",1,"Nodosilineaceae",2.23001093402136
"7",1,"Phormidesmiaceae",2.55815914429109
"8",1,"Phycisphaeraceae",1.11055835282905
"9",1,"Pirellulaceae",4.07480814216241
"10",1,"Puniceicoccaceae",1.60805413133534
"11",1,"Rare Families",23.5868326239704
"12",1,"Rhodobacteraceae",10.4172295934202
"13",1,"Rhodothermaceae",3.07347407512602
"14",1,"Rubritaleaceae",1.20019452012557
"15",1,"Saprospiraceae",13.2148551743212
"16",1,"Sphingomonadaceae",5.99176200501678
"17",1,"Unknown Family",2.14820692131413
"18",1,"Woeseiaceae",3.77778575198707
"19",2,"A4b",8.42145183845014
"20",2,"Balneolaceae",1.20491039480826
"21",2,"Cryomorphaceae",1.1966049706753
"22",2,"Cyclobacteriaceae",3.74640240817917
"23",2,"Desulfocapsaceae",3.02355557561085
"24",2,"Flavobacteriaceae",4.35244784624559
"25",2,"Halieaceae",1.81191661315015
"26",2,"Nodosilineaceae",2.28109629268757
"27",2,"Phormidesmiaceae",2.50545756961302
"28",2,"Phycisphaeraceae",1.78957699791664
"29",2,"Pirellulaceae",3.92408355659156
"30",2,"Puniceicoccaceae",1.95293867516925
"31",2,"Rare Families",26.0038578019762
"32",2,"Rhodobacteraceae",10.0915705687965
"33",2,"Rhodothermaceae",2.93343192923592
"34",2,"Sandaracinaceae",1.22110269918471
"35",2,"Saprospiraceae",10.47268889371
"36",2,"Sphingomonadaceae",2.96211836754028
"37",2,"Thermoanaerobaculaceae",2.17241301295367
"38",2,"Unknown Family",2.9364631859899
"39",2,"Woeseiaceae",4.99591080151532
"40",3,"A4b",7.11697566418573
"41",3,"Acanthopleuribacteraceae",3.69585976554255
"42",3,"Chitinophagaceae",1.71959958000666
"43",3,"Cryomorphaceae",1.25858095490037
"44",3,"Cyclobacteriaceae",4.73449275361099
"45",3,"Desulfocapsaceae",1.39790404581839
"46",3,"Flavobacteriaceae",4.47925473356483
"47",3,"Halieaceae",1.75457524273637
"48",3,"Hyphomonadaceae",1.02833092734282
"49",3,"Nodosilineaceae",2.12448758119921
"50",3,"Phormidesmiaceae",2.37939548640209
"51",3,"Phycisphaeraceae",1.95483350426713
"52",3,"Pirellulaceae",4.01926826272817
"53",3,"Puniceicoccaceae",2.22573794128491
"54",3,"Rare Families",25.2728565255486
"55",3,"Rhodobacteraceae",9.60437728655571
"56",3,"Rhodothermaceae",3.09182813298688
"57",3,"Sandaracinaceae",1.04829731112936
"58",3,"Saprospiraceae",8.19311312303669
"59",3,"Sphingomonadaceae",3.27791185760027
"60",3,"Thermoanaerobaculaceae",2.55359625838265
"61",3,"Unknown Family",2.86289075447217
"62",3,"Woeseiaceae",4.20583230669744
